[CIE_UCS] 3201
 Tc	      urt	      vrt	   xt	   yt	   ur	   vr	  cr	  dr	 Ur1	 Ur2	 Ur3	 Ur4	 Ur5	 Ur6	 Ur7	 Ur8	 Ur9	Ur10	 Ur11	 Ur12	Ur13	 Ur14	Vr1	Vr2	Vr3	Vr4	 Vr5	 Vr6	 Vr7	 Vr8	 Vr9	Vr10	Vr11	 Vr12	Vr13	Vr14	 Wr1	 Wr2	 Wr3	 Wr4	 Wr5	 Wr6	 Wr7	 Wr8	 Wr9	Wr10	Wr11	Wr12	Wr13	Wr14
2350	0.280571943448	0.355802092793	0.49087	0.41500	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2352	0.280452833123	0.355780006423	0.49068	0.41498	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2354	0.280333928477	0.355757889303	0.49049	0.41497	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2356	0.280215229055	0.355735741558	0.49030	0.41496	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2358	0.280096734403	0.355713563314	0.49011	0.41495	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2360	0.279978444069	0.355691354696	0.48992	0.41494	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2362	0.279860357602	0.355669115830	0.48973	0.41493	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2364	0.279742474552	0.355646846839	0.48954	0.41492	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2366	0.279624794470	0.355624547849	0.48935	0.41490	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2368	0.279507316907	0.355602218984	0.48916	0.41489	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
